geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
3,400,30,4,10,0.5,log_loss,balanced,0.5,0.6639831729890324,0.69305,0.49918640390526126,0.6761080728103829,0.5743308833726252,0.7562498696082004
3,400,24,12,15,sqrt,log_loss,balanced,0.45,0.6482005888903805,0.66425,0.47023278517446265,0.7601284248904852,0.5810282434174951,0.7654750172619532
3,400,6,2,5,0.3,entropy,balanced,0.5,0.6327656276838728,0.6693583333333334,0.47385270236434524,0.7208935325007483,0.5718324754227503,0.7564335628120823
3,400,8,12,10,sqrt,entropy,balanced,0.5,0.6693216235997618,0.6893416666666666,0.49493821933099813,0.699697983838054,0.5797702652433182,0.7626000505505828
3,400,24,2,10,sqrt,entropy,balanced,0.5,0.6732018524377409,0.6964416666666666,0.5032568734015346,0.6853046009849536,0.5803389361873711,0.7628524045532018
3,400,6,2,5,sqrt,entropy,balanced_subsample,0.5,0.6384490638639512,0.6749,0.47923675067556387,0.7093298506244389,0.5720115850447604,0.7566946168735913
4,400,24,24,10,0.5,entropy,balanced,0.5,0.6670682667748513,0.6947416666666667,0.5012281549488604,0.677359671319348,0.5761331157936149,0.7576659197722408
4,650,24,2,10,sqrt,entropy,balanced,0.5,0.6728485553998174,0.69635,0.503149055283415,0.6847060103937094,0.5800525539369352,0.7628603381662704
4,200,24,12,10,sqrt,entropy,balanced,0.3,0.5583072747439126,0.5535833333333333,0.39859869999879405,0.8993279460180121,0.5523747451452254,0.7627995019786055
4,100,24,2,10,sqrt,entropy,balanced,0.5,0.6729328452187372,0.6962416666666666,0.5030171035805626,0.6849780970260931,0.5800624416769392,0.7626958762156543
5,650,24,24,10,sqrt,entropy,balanced_subsample,0.5,0.6672120876633001,0.7020666666666666,0.51034112275047,0.6720539819878649,0.5801390454716272,0.762984328509091
5,650,8,2,10,sqrt,entropy,balanced_subsample,0.55,0.6207679089844297,0.7237666666666667,0.546133961250032,0.5805784561804479,0.5628297109094745,0.7626347617215429
5,400,24,24,10,sqrt,entropy,balanced_subsample,0.5,0.666623232924552,0.7015,0.5096366378152822,0.6712649307539521,0.579389868720791,0.7629482138761449
5,400,24,2,10,log2,entropy,balanced,0.5,0.6732018524377409,0.6964416666666666,0.5032568734015346,0.6853046009849536,0.5803389361873711,0.7628524045532018
5,650,24,2,10,sqrt,entropy,balanced_subsample,0.5,0.6663935445996907,0.7020583333333333,0.5103515382385823,0.6707207574891846,0.579648462759391,0.7626986596069614
5,400,8,24,10,sqrt,entropy,balanced,0.5,0.6702304240774889,0.6903083333333333,0.49603036288292474,0.6969771175142165,0.579580293002998,0.7626236301173701
6,650,24,24,10,sqrt,gini,balanced,0.5,0.6735917220584433,0.6963,0.5030827862801046,0.6860120262291514,0.5804765741913204,0.7629733519917166
6,650,24,24,15,sqrt,entropy,balanced,0.5,0.6781087844268457,0.697225,0.504159239453357,0.6925965227328381,0.5835425191705925,0.7655103737835633
6,650,24,24,1,sqrt,entropy,balanced,0.5,0.6527026767905638,0.6910916666666667,0.49679773003648153,0.6669387532990504,0.5694307318829638,0.7526222326725557
6,650,24,12,10,sqrt,entropy,balanced,0.5,0.6728485553998174,0.69635,0.503149055283415,0.6847060103937094,0.5800525539369352,0.7628603381662704
6,400,24,24,10,sqrt,entropy,balanced,0.5,0.6738383855109638,0.6969,0.503805965676383,0.6861208608821049,0.5809967052968689,0.7631399460998234
6,650,24,24,10,0.3,entropy,balanced,0.5,0.671908823719662,0.6961416666666667,0.5029020895044432,0.6836720811906511,0.5795172803487205,0.7616048123170109
6,650,24,24,10,sqrt,entropy,balanced_subsample,0.6,0.5902643260481737,0.7357833333333333,0.5756286150987503,0.5225967948194705,0.5478322875071306,0.762984328509091
7,650,6,24,10,sqrt,entropy,balanced,0.5,0.6457987073675676,0.6792333333333334,0.4837546475347047,0.7044867085680081,0.5736186804909389,0.7567391571810915
7,400,24,24,10,0.3,entropy,balanced,0.5,0.6713504042117155,0.695925,0.502643912991227,0.682801403967023,0.5790329837676946,0.7615195091849872
7,400,24,24,20,0.3,entropy,balanced,0.5,0.6787764657818514,0.6969583333333333,0.5038327801485696,0.6938753299050417,0.5837768544907233,0.7655980439094627
7,400,24,24,10,sqrt,entropy,balanced,0.45,0.6458288936896281,0.6654916666666667,0.47115908471806045,0.7529725464587925,0.5796269727403156,0.7631399460998234
