geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
1,200,10.0,12,5,sqrt,log_loss,balanced_subsample,0.5,0.6788710267280906,0.6927416666666667,0.49885592398681405,0.6999700704704378,0.5825436183100665,0.7656382461989825
1,500,10.0,30,20,0.3,entropy,balanced,0.5,0.6780030918728536,0.6917,0.4976600866634569,0.7030990667428509,0.5828052053496922,0.7657871076269969
1,800,24.0,16,2,log2,entropy,balanced_subsample,0.55,0.6003581416670047,0.719375,0.5409264971811509,0.5534514189317878,0.547117285527926,0.7486792699572894
1,650,10.0,4,2,0.3,log_loss,balanced_subsample,0.55,0.6339115189689286,0.722,0.541445777245743,0.6030256033521073,0.5705789975027675,0.7655051928386005
1,800,12.0,12,10,log2,gini,balanced_subsample,0.45,0.6482904860748232,0.6612,0.4677379358230422,0.7698147090033467,0.5819090516443512,0.7673011195357102
1,500,16.0,6,2,0.5,log_loss,balanced_subsample,0.55,0.6077166113899297,0.7259416666666667,0.5519037645668868,0.5592468642015618,0.5555510507466721,0.7575608291009011
1,650,10.0,6,10,0.3,gini,balanced_subsample,0.45,0.6450068055052256,0.6590916666666666,0.46588297103828724,0.7720730280521318,0.5811122147018769,0.765897345578515
1,100,24.0,8,1,0.3,gini,balanced_subsample,0.4,0.5737041738902764,0.6532166666666667,0.4565803812280044,0.6953990150463908,0.5512347676048743,0.7289736975277181
1,500,12.0,6,20,0.3,entropy,balanced_subsample,0.55,0.6375352124234404,0.7229166666666667,0.5425049142136045,0.6082496666938754,0.5734992303745511,0.7670923731953245
1,200,12.0,4,2,0.5,gini,balanced,0.55,0.6381736221246144,0.7211,0.5394461922716683,0.6111609936603815,0.5730686804775997,0.7649222833366509
1,100,8.0,4,8,0.5,entropy,balanced_subsample,0.6,0.5711174144716131,0.736075,0.5819571668171849,0.4909259108100019,0.5325796596661599,0.7617074268290573
1,200,6.0,12,5,0.3,log_loss,balanced_subsample,0.5,0.6322946751069003,0.6692916666666666,0.47376802777081917,0.7204037765624575,0.5716167057070995,0.7563676336001051
1,100,12.0,8,2,0.5,log_loss,balanced,0.4,0.6150197495367081,0.6246583333333333,0.4399298408372713,0.8257557206214459,0.5740360699458099,0.7654366903950874
1,500,24.0,12,5,0.3,log_loss,balanced_subsample,0.5,0.642943334815377,0.7020833333333333,0.5110033569563596,0.633689766821756,0.5657718935989311,0.7522054866636301
1,300,30.0,30,2,log2,entropy,balanced_subsample,0.4,0.6143330632865167,0.646825,0.4546509379230323,0.7676108072810383,0.5710642173979049,0.7531482357784537
1,650,10.0,30,4,log2,entropy,balanced,0.65,0.5271596791291885,0.7452666666666666,0.6277100970472848,0.4135716812233015,0.49862222805406115,0.7658630166499379
