geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
2,300,16.0,6,10,0.5,log_loss,balanced_subsample,0.45,0.6453395032898857,0.666575,0.4720621527063182,0.7489184556362746,0.5791018398712405,0.7618853635182146
2,100,16.0,30,15,0.3,gini,balanced_subsample,0.45,0.6466603104638994,0.66355,0.4695709171582716,0.7601828422169619,0.5805385862111956,0.7650984851454585
2,100,6.0,2,5,0.5,log_loss,balanced,0.35,0.5470868912447002,0.5461916666666666,0.3944254943587052,0.8998177019563028,0.5484456753372747,0.7551369361830843
2,800,20.0,30,15,log2,gini,balanced_subsample,0.45,0.6510419467868717,0.6672083333333333,0.47287297527706734,0.754605066253095,0.5814072932717,0.7652061137493369
2,100,24.0,16,5,0.3,entropy,balanced_subsample,0.55,0.6113237068032457,0.7196166666666667,0.5399963955613913,0.5706745027616793,0.5549117654840331,0.7521866036611202
2,400,24.0,30,5,log2,entropy,balanced,0.35,0.5847600527142502,0.5954916666666666,0.42090926169453313,0.8534541397981117,0.5637744327117502,0.7590193464100345
2,800,20.0,6,15,0.5,log_loss,balanced_subsample,0.6,0.5860069477279213,0.734275,0.5733980933993001,0.5171550621717955,0.5438262685798486,0.7605571567066345
2,100,20.0,16,15,0.3,log_loss,balanced_subsample,0.3,0.5631010934783864,0.55695,0.4005646363184743,0.8994911979974424,0.5542906005834815,0.7636544062701771
2,100,12.0,2,1,sqrt,log_loss,balanced,0.55,0.6344586484894175,0.723025,0.5430228574225442,0.6037330285963051,0.5717709205694775,0.7649900378009478
3,100,10.0,4,8,log2,gini,balanced_subsample,0.7,0.46052834798536924,0.7437416666666666,0.6764671292485005,0.3130084618942671,0.4279841514909131,0.7651171787427002
3,100,24.0,30,5,0.5,gini,balanced,0.45,0.632278369604565,0.665175,0.47021594742149736,0.7358310886186161,0.5737744916036365,0.7543605496084083
3,400,20.0,30,15,log2,log_loss,balanced_subsample,0.45,0.6518606036904473,0.6676083333333334,0.4732584729854261,0.7545506489266183,0.581682415496429,0.7651645642147529
3,300,24.0,12,1,log2,log_loss,balanced,0.45,0.6036643488697755,0.6611666666666667,0.46520616261465847,0.7106630751231192,0.5623156580335421,0.739035769699969
3,100,24.0,30,5,0.3,entropy,balanced,0.45,0.637359900633291,0.665725,0.47094430992736075,0.740891899980954,0.5758514586615631,0.7572579527546852
3,650,24.0,30,10,0.5,entropy,balanced_subsample,0.55,0.6219411542567006,0.7196416666666666,0.5388419843133336,0.5869452833782276,0.5618659408493625,0.7570239779267578
3,300,16.0,6,5,log2,entropy,balanced,0.45,0.6456555454805972,0.6619333333333334,0.46820674367051685,0.7643185590291949,0.5806925064599483,0.7643638185537656
3,100,,6,10,0.3,gini,balanced_subsample,0.45,0.6464416970528927,0.6736583333333334,0.4784391676515884,0.7269338557396675,0.5770721961229008,0.7572858713199808
3,300,16.0,16,15,0.5,log_loss,balanced_subsample,0.45,0.6466436957707703,0.6652916666666666,0.4710395871528485,0.7549859875384323,0.5801319241906315,0.7631249992623572
3,100,30.0,4,1,log2,gini,balanced,0.55,0.5217007090550202,0.675325,0.4739733132160875,0.5470301744075313,0.5078879892890074,0.7008964294110159
3,100,10.0,16,4,0.5,entropy,balanced_subsample,0.55,0.6365731617205359,0.71975,0.537482896853021,0.6092291785704569,0.5711115645564454,0.7643462479875865
3,200,,30,20,log2,entropy,balanced,0.45,0.6472034719614239,0.6633083333333334,0.46940691319945016,0.7618969880009795,0.5809121744271681,0.7650493945357297
3,200,24.0,30,1,log2,entropy,balanced,0.45,0.6323187991158434,0.6654166666666667,0.47042846945348815,0.7351780807008952,0.5737339420320628,0.7540461651353816
3,800,24.0,30,20,log2,entropy,balanced,0.45,0.6471906910191192,0.6632666666666667,0.469365518397452,0.7618425706745028,0.5808646585345615,0.7654843994412821
3,650,8.0,30,5,log2,gini,balanced,0.45,0.6285644701484251,0.6494833333333333,0.457527320437127,0.7780317253013359,0.5762100511828477,0.7621301501348623
3,300,12.0,6,1,sqrt,log_loss,balanced,0.45,0.6461588249587427,0.66085,0.4673508234709923,0.768236606535521,0.5811584060596081,0.7656127330315644
3,100,12.0,6,10,0.5,log_loss,balanced_subsample,0.55,0.6364219390263188,0.7215833333333334,0.5404339727617988,0.6078687454085381,0.5721712851508477,0.7649184721888896
4,200,,30,10,0.3,entropy,balanced_subsample,0.7,0.4854297016967378,0.7431083333333334,0.6481796359271854,0.35265148423257964,0.45678337944280956,0.7588060798369365
4,100,30.0,6,1,log2,gini,balanced,0.45,0.5351013818809717,0.6470416666666666,0.4486187034523242,0.6654150681577015,0.5359220747915456,0.7106022874715755
4,400,24.0,30,5,log2,log_loss,balanced,0.45,0.6411528287544389,0.6664583333333334,0.4717638936831205,0.743721600957745,0.5773182811823472,0.7590193464100345
4,100,20.0,30,20,log2,entropy,balanced_subsample,0.45,0.6502255473380902,0.66555,0.4714225340207928,0.7587679917285663,0.5815364724527672,0.7658957651312785
